      29500   0.000527   1.8e-005   0.000545
      29000   0.001085   3.8e-005   0.001123
      28500   0.001675   6.2e-005   0.001737
      28000     0.0023   8.9e-005   0.002389
      27500   0.002962   0.000119   0.003081
      27000   0.003663   0.000155   0.003817
      26500   0.004404   0.000195     0.0046
      26000    0.00519   0.000242   0.005432
      25500   0.006022   0.000295   0.006317
      25000   0.006904   0.000356    0.00726
      24500    0.00783   0.000429   0.008258
      24000    0.00879   0.000518   0.009308
      23500    0.00979   0.000628   0.010418
      23000   0.010828   0.000764   0.011591
      22500   0.011903   0.000927   0.012829
      22000    0.01301    0.00112   0.014129
      21500    0.01414   0.001339    0.01548
      21000   0.015287   0.001579   0.016866
      20500   0.016456    0.00184   0.018297
      20000   0.017656   0.002123   0.019779
      19500   0.018873   0.002417   0.021289
      19000   0.020093   0.002708     0.0228
      18500   0.021319    0.00299   0.024309
      18000   0.022556   0.003258   0.025814
      17500   0.023798   0.003505   0.027303
      17000   0.025049    0.00373   0.028779
      16500   0.026308   0.003937   0.030244
      16000   0.027582   0.004133   0.031715
      15500   0.028879   0.004326   0.033205
      15000   0.030211   0.004522   0.034733
      14500   0.031587   0.004725   0.036312
      14000    0.03302   0.004939    0.03796
      13500   0.034515   0.005169   0.039684
      13000    0.03608   0.005418   0.041498
      12500   0.037728    0.00569   0.043418
      12000   0.039471   0.005994   0.045465
      11500   0.041307   0.006333    0.04764
      11000   0.043238    0.00671   0.049949
      10500    0.04525   0.007152   0.052402
      10000   0.047338   0.007679   0.055018
       9500   0.049514   0.008321   0.057835
       9000   0.051797   0.009132   0.060929
       8500   0.054191   0.010197   0.064388
       8000   0.056705   0.011646   0.068351
       7500   0.059351   0.013618   0.072969
       7000   0.062146   0.016298   0.078444
       6500   0.065097   0.019583   0.084679
       6000   0.068208   0.023237   0.091446
       5500   0.071492   0.027277    0.09877
       5000   0.074959   0.031717   0.106675
       4500   0.078616   0.037267   0.115883
       4000   0.082472   0.045091   0.127563
       3500   0.086538   0.055946   0.142483
       3000   0.090826    0.07079   0.161616
       2500    0.09534   0.091519    0.18686
       2000   0.100102   0.119129   0.219231
       1500   0.105112   0.250224   0.355336
       1000   0.110377     1.7185    1.82888
        500   0.115903    5.61351    5.72942
          0   0.121896     9.5087     9.6306
