Scatter phase function type: Molecule, Rayleigh.
  1.745329e-002  7.407031e-003
  3.490659e-002  1.481181e-002
  5.235988e-002  2.221207e-002
  6.981317e-002  2.960558e-002
  8.726646e-002  3.699010e-002
  1.047198e-001  4.436339e-002
  1.221730e-001  5.172324e-002
  1.396263e-001  5.906746e-002
  1.570796e-001  6.639386e-002
  1.745329e-001  7.370029e-002
  1.919862e-001  8.098461e-002
  2.094395e-001  8.824472e-002
  2.268928e-001  9.547853e-002
  2.443461e-001  1.026840e-001
  2.617994e-001  1.098592e-001
  2.792527e-001  1.170020e-001
  2.967060e-001  1.241105e-001
  3.141593e-001  1.311830e-001
  3.316126e-001  1.382174e-001
  3.490659e-001  1.452121e-001
  3.665191e-001  1.521651e-001
  3.839724e-001  1.590750e-001
  4.014257e-001  1.659399e-001
  4.188790e-001  1.727584e-001
  4.363323e-001  1.795288e-001
  4.537856e-001  1.862497e-001
  4.712389e-001  1.929197e-001
  4.886922e-001  1.995374e-001
  5.061455e-001  2.061015e-001
  5.235988e-001  2.126107e-001
  5.410521e-001  2.190640e-001
  5.585054e-001  2.254603e-001
  5.759587e-001  2.317984e-001
  5.934119e-001  2.380775e-001
  6.108652e-001  2.442967e-001
  6.283185e-001  2.504551e-001
  6.457718e-001  2.565521e-001
  6.632251e-001  2.625869e-001
  6.806784e-001  2.685590e-001
  6.981317e-001  2.744679e-001
  7.155850e-001  2.803131e-001
  7.330383e-001  2.860944e-001
  7.504916e-001  2.918113e-001
  7.679449e-001  2.974638e-001
  7.853982e-001  3.030516e-001
  8.028515e-001  3.085749e-001
  8.203047e-001  3.140335e-001
  8.377580e-001  3.194277e-001
  8.552113e-001  3.247576e-001
  8.726646e-001  3.300235e-001
  8.901179e-001  3.352257e-001
  9.075712e-001  3.403647e-001
  9.250245e-001  3.454410e-001
  9.424778e-001  3.504551e-001
  9.599311e-001  3.554078e-001
  9.773844e-001  3.602997e-001
  9.948377e-001  3.651318e-001
  1.012291e+000  3.699047e-001
  1.029744e+000  3.746196e-001
  1.047198e+000  3.792774e-001
